2026-05-28 13:06:19,263 INFO job_skipped | Compound Direct Backend Developer (TypeScript)
2026-05-28 13:06:20,424 INFO notification_sent | New job found
2026-05-28 13:06:20,428 INFO job_skipped | IT Alliance Senior Backend Developer
2026-05-28 13:06:21,706 INFO notification_sent | New job found
2026-05-28 13:06:21,713 INFO notification_sent | Pending approval
2026-05-28 13:06:22,633 INFO notification_sent | New job found
2026-05-28 13:06:22,637 INFO job_skipped | Pyramid Global Technologies Backend Developer - AWS Connect
2026-05-28 13:06:24,441 INFO notification_sent | New job found
2026-05-28 13:06:24,446 INFO notification_sent | Pending approval
2026-05-28 13:06:25,656 INFO notification_sent | New job found
2026-05-28 13:06:25,660 INFO job_skipped | Reserve Bank of Australia Backend Software Developer
2026-05-28 13:06:26,791 INFO notification_sent | New job found
2026-05-28 13:06:26,797 INFO notification_sent | Pending approval
2026-05-28 13:06:32,309 INFO notification_sent | New job found
2026-05-28 13:06:32,315 INFO notification_sent | Pending approval
2026-05-28 13:06:33,469 INFO notification_sent | New job found
2026-05-28 13:06:33,473 INFO notification_sent | Pending approval
2026-05-28 13:06:53,959 INFO notification_sent | New job found
2026-05-28 13:06:53,966 INFO notification_sent | Pending approval
2026-05-28 13:06:55,062 INFO notification_sent | New job found
2026-05-28 13:06:55,066 INFO notification_sent | Pending approval
2026-05-28 13:06:56,195 INFO notification_sent | New job found
2026-05-28 13:06:56,199 INFO notification_sent | Pending approval
2026-05-28 13:07:01,826 INFO notification_sent | New job found
2026-05-28 13:07:01,831 INFO job_skipped | Honeywell Software Engineer
2026-05-28 13:07:22,341 INFO notification_sent | New job found
2026-05-28 13:07:22,346 INFO notification_sent | Pending approval
2026-05-28 13:07:23,581 INFO notification_sent | New job found
2026-05-28 13:07:23,585 INFO job_skipped | MPAU Technology Software Engineer
2026-05-28 13:07:26,535 INFO notification_sent | New job found
2026-05-28 13:07:26,539 INFO notification_sent | Pending approval
2026-05-28 13:07:27,748 INFO notification_sent | New job found
2026-05-28 13:07:27,751 INFO job_skipped | Laundry Rental Services Company CONTRACT ADMINISTRATOR / SOFTWARE ENGINEER / WELDER
2026-05-28 13:07:28,678 INFO notification_sent | New job found
2026-05-28 13:07:28,683 INFO job_skipped | TECH WIRE IT PTY LTD Software Engineer - Full Time, Permanent (Multiple Positions Available)
2026-05-28 13:07:29,593 INFO notification_sent | New job found
2026-05-28 13:07:29,597 INFO notification_sent | Pending approval
2026-05-28 13:07:33,874 INFO notification_sent | New job found
2026-05-28 13:07:33,879 INFO job_skipped | Morgan McKinley Software Engineer
2026-05-28 13:07:39,156 INFO notification_sent | New job found
2026-05-28 13:07:39,159 INFO job_skipped | Managed IT Services Australia Software Engineer
2026-05-28 13:07:40,074 INFO notification_sent | New job found
2026-05-28 13:07:40,079 INFO job_skipped | Custom Compounding Chemist Pty Ltd Software Engineer
2026-05-28 13:07:41,066 INFO notification_sent | New job found
2026-05-28 13:07:41,070 INFO job_skipped | ABB Australia Software Engineer
2026-05-28 13:08:01,564 INFO notification_sent | New job found
2026-05-28 13:08:01,570 INFO job_skipped | Slater and Gordon Software Engineer
2026-05-28 13:08:02,537 INFO notification_sent | New job found
2026-05-28 13:08:02,542 INFO job_skipped | Next Gen Talent Software Engineer
2026-05-28 13:08:15,063 INFO notification_sent | New job found
2026-05-28 13:08:15,067 INFO job_skipped | Camp Australia Software Engineer
2026-05-28 13:08:16,296 INFO notification_sent | New job found
2026-05-28 13:08:16,300 INFO job_skipped | Accenture AI Engineering Sr Manager
2026-05-28 13:08:17,500 INFO notification_sent | New job found
2026-05-28 13:08:17,659 INFO job_skipped | Tech Aalto Python / Network Automation Engineer
2026-05-28 13:08:18,782 INFO notification_sent | New job found
2026-05-28 13:08:18,786 INFO job_skipped | Strategic Partners Australia Back End Developer
2026-05-28 13:08:20,016 INFO notification_sent | New job found
2026-05-28 13:08:20,019 INFO job_skipped | WNS Group Manager-Analytics
2026-05-28 13:08:24,574 INFO notification_sent | New job found
2026-05-28 13:08:24,578 INFO job_skipped | Charles Darwin University Applications Developer
2026-05-28 13:08:24,579 INFO collector_results | jsearch: 0 jobs discovered
2026-05-28 13:08:24,580 INFO collector_results | serpapi: 0 jobs discovered
2026-05-28 13:09:30,795 INFO notification_sent | New job found
2026-05-28 13:09:30,899 INFO notification_sent | New job found
2026-05-28 13:09:30,950 INFO collector_results | fake: 1 jobs discovered
2026-05-28 13:09:30,965 INFO notification_sent | New job found
2026-05-28 13:09:30,967 INFO job_skipped | Safe Search Co Python Developer
2026-05-28 13:10:12,186 INFO collector_results | adzuna: 71 jobs discovered
2026-05-28 13:10:12,270 INFO collector_results | jsearch: 0 jobs discovered
2026-05-28 13:10:12,273 INFO collector_results | serpapi: 0 jobs discovered
2026-05-28 13:20:03,536 INFO notification_sent | New job found
2026-05-28 13:20:03,653 INFO notification_sent | New job found
2026-05-28 13:20:03,702 INFO collector_results | fake: 1 jobs discovered
2026-05-28 13:20:03,715 INFO notification_sent | New job found
2026-05-28 13:20:03,717 INFO job_skipped | Safe Search Co Python Developer
2026-05-28 13:37:34,947 INFO notification_sent | Application update
2026-05-28 14:16:04,804 INFO notification_sent | Application update
2026-05-28 14:51:18,181 INFO notification_sent | Application update
2026-05-28 15:03:29,465 INFO notification_sent | Application update
2026-05-28 15:03:49,088 INFO notification_sent | Application update
